assetNumber,remainingTermToMaturityNumber,reportingPeriodBeginningDate,originalLoanAmount,originalLoanTerm,originalInterestRatePercentage,reportingPeriodActualEndBalanceAmount
19795231,73,2019-02-01,33901.62,72,0.1473,33901.62
19795232,61,2019-02-01,7000,60,0.1755,6930.32
19795431,72,2019-02-01,17915.03,72,0.18,17900.93
19795438,71,2019-02-01,20900.75,71,0.2381,20900.75
19795465,73,2019-02-01,19695.83,72,0.2458,19695.83
19795256,73,2019-02-01,11422.43,72,0.1765,11422.43
19795264,76,2019-02-01,35650,75,0.18,35650
19795265,73,2019-02-01,20857.87,72,0.2116,20857.87
19795474,73,2019-02-01,16988.31,72,0.2368,16988.31
19795479,73,2019-02-01,24686.25,72,0.1461,24686.25
19795481,60,2019-02-01,15643,60,0.1652,15351.95
19795270,73,2019-02-01,28119.6,72,0.2414,28119.6
19795271,73,2019-02-01,5871,72,0.1471,5871
19795277,72,2019-02-01,9958.45,72,0.2233,9958.45
19795278,73,2019-02-01,14817.91,72,0.1909,14817.91
19795487,73,2019-02-01,19329.59,72,0.2576,19329.59
19795281,76,2019-02-01,23243.2,75,0.1531,23243.2
19795283,73,2019-02-01,32239.56,72,0.2061,32239.56
19795284,55,2019-02-01,8155,54,0.2097,8155
19795424,60,2019-02-01,9000,60,0.2094,9000
19795436,73,2019-02-01,13677.89,72,0.18,13592.95
19795445,60,2019-02-01,11022.12,60,0.1897,10891.04
19795446,72,2019-02-01,24357.01,72,0.2358,24357.01
19795452,73,2019-02-01,13937.42,72,0.18,13937.42
19795453,75,2019-02-01,19065.97,75,0.2185,18993.32
19795460,73,2019-02-01,19234.85,72,0.2006,19234.85
19795466,76,2019-02-01,31092.15,75,0.18,31092.15
19795482,73,2019-02-01,27713.95,72,0.2427,27713.95
19793811,73,2019-02-01,27937.68,72,0.1626,27783.68
19793818,72,2019-02-01,15102.2,72,0.21,15102.2
19793820,73,2019-02-01,21898.78,72,0.1544,21898.78
19793826,76,2019-02-01,41128.68,75,0.1313,41128.68
19793833,73,2019-02-01,34205.4,72,0.18,33880.69
19793854,76,2019-02-01,32200,75,0.179,32200
19793874,73,2019-02-01,35401.06,72,0.1753,35401.06
19793875,48,2019-02-01,9867,48,0.25,9840.59
19793882,76,2019-02-01,35372.4,75,0.1866,35372.4
19793901,73,2019-02-01,27935.5,72,0.2139,27935.5
19797640,72,2019-02-01,21806.9,72,0.18,21789.79
19797650,73,2019-02-01,9393.81,72,0.1907,9393.81
19797651,72,2019-02-01,18947.17,72,0.1306,18755.39
19797666,72,2019-02-01,11603.64,72,0.1537,11603.64
19797670,73,2019-02-01,13525.55,72,0.1823,13525.55
19798239,61,2019-02-01,12287.64,60,0.1978,12287.64
19798251,73,2019-02-01,13771.85,72,0.2249,13771.85
19798253,73,2019-02-01,20708.43,72,0.2549,20708.43
19798262,76,2019-02-01,27693.31,75,0.2077,27693.31
19798269,35,2019-02-01,8697.79,36,0.2621,8403.93
19798274,73,2019-02-01,27968,72,0.1378,27968
19798740,72,2019-02-01,20862.89,72,0.18,20631.53
19798746,73,2019-02-01,21067.21,72,0.1914,21067.21
19798783,76,2019-02-01,28498,75,0.2639,28498
19798791,73,2019-02-01,24837.7,72,0.2189,24837.7
19799296,73,2019-02-01,16645.1,72,0.2194,16645.1
19799302,73,2019-02-01,18511.5,72,0.2057,18511.5
19799303,72,2019-02-01,21937.57,72,0.2253,21625
19799343,61,2019-02-01,15641.93,60,0.2105,15641.93
19799842,73,2019-02-01,21252.95,72,0.18,21252.95
19799850,73,2019-02-01,24926.72,72,0.18,24926.72
19799883,73,2019-02-01,10383.29,72,0.2639,10383.29
19799904,73,2019-02-01,14961.25,72,0.2574,14961.25
19799912,73,2019-02-01,14776.49,72,0.2321,14776.49
19799955,61,2019-02-01,9814.5,60,0.2548,9814.5
19799959,72,2019-02-01,13708.62,72,0.2271,13708.62
19799964,73,2019-02-01,33300,72,0.18,33300
19797332,72,2019-02-01,12728.78,72,0.2389,12652.78
19797479,73,2019-02-01,15923.14,72,0.1823,15923.14
19797480,75,2019-02-01,31904.37,75,0.1667,31904.37
19797484,73,2019-02-01,19179.39,72,0.1302,19179.39
19797485,72,2019-02-01,18844.84,72,0.2334,18716.67
19797529,73,2019-02-01,21944,72,0.1524,21944
19797536,73,2019-02-01,26720.99,72,0.18,26720.99
19797548,76,2019-02-01,25272.46,75,0.1263,25120.96
19797551,73,2019-02-01,19865.46,72,0.1655,19865.46
19797565,73,2019-02-01,17847.4,72,0.2554,17847.4
19798117,60,2019-02-01,10975.67,60,0.1656,10724.18
19797707,71,2019-02-01,16191.84,72,0.18,15875.95
19797713,60,2019-02-01,15500.01,60,0.2254,15500.01
19798123,76,2019-02-01,31147.74,75,0.107,31147.74
19798125,72,2019-02-01,33053.63,72,0.1975,32571.99
19798129,73,2019-02-01,13843.91,72,0.196,13843.91
19797722,73,2019-02-01,25659.23,72,0.2153,25659.23
19797723,73,2019-02-01,19870.31,72,0.2464,19870.31
19797729,73,2019-02-01,21453.17,72,0.1678,21453.17
19798136,73,2019-02-01,17452.06,72,0.2103,17452.06
19798190,73,2019-02-01,10974.07,72,0.1412,10974.07
19797737,73,2019-02-01,38842.63,72,0.1692,38842.63
19797750,60,2019-02-01,22528.54,60,0.1575,22187.82
