"Company","cik","deal_url"
"Hyundai Auto Receivables Trust 2018-A","0001735464","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001735464&action=getcompany"
"Hyundai Auto Receivables Trust 2018-B","0001756671","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001756671&action=getcompany"
"JP MORGAN CHASE COMMERCIAL MORTGAGE SECURITIES CORP","0001013611","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001013611&action=getcompany"
"JPMCC Commercial Mortgage Securities Trust 2016-JP4","0001689111","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001689111&action=getcompany"
"JPMCC Commercial Mortgage Securities Trust 2017-JP5","0001695154","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001695154&action=getcompany"
"JPMCC Commercial Mortgage Securities Trust 2017-JP6","0001701638","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001701638&action=getcompany"
"JPMCC Commercial Mortgage Securities Trust 2017-JP7","0001709967","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001709967&action=getcompany"
"JPMDB Commercial Mortgage Securities Trust 2017-C5","0001699099","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001699099&action=getcompany"
"Mercedes-Benz Auto Lease Trust 2017-A","0001700323","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001700323&action=getcompany"
"Mercedes-Benz Auto Lease Trust 2018-A","0001723535","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001723535&action=getcompany"
"Mercedes-Benz Auto Lease Trust 2018-B","0001757056","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001757056&action=getcompany"
"Mercedes-Benz Auto Receivables Trust 2018-1","0001733358","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001733358&action=getcompany"
"Morgan Stanley Bank of America Merrill Lynch Trust 2016-C32","0001690577","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001690577&action=getcompany"
"Morgan Stanley Bank of America Merrill Lynch Trust 2017-C33","0001702746","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001702746&action=getcompany"
"Morgan Stanley Bank of America Merrill Lynch Trust 2017-C34","0001715846","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001715846&action=getcompany"
"Morgan Stanley Capital I Inc.","0001547361","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001547361&action=getcompany"
"Morgan Stanley Capital I Trust 2017-H1","0001705163","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001705163&action=getcompany"
"Morgan Stanley Capital I Trust 2017-HR2","0001723306","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001723306&action=getcompany"
"Morgan Stanley Capital I Trust 2018-H3","0001742383","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001742383&action=getcompany"
"Morgan Stanley Capital I Trust 2018-L1","0001751743","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001751743&action=getcompany"
"Nissan Auto Lease Trust 2017-A","0001707593","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001707593&action=getcompany"
"Nissan Auto Lease Trust 2017-B","0001717778","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001717778&action=getcompany"
"Nissan Auto Lease Trust 2018-A","0001755318","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001755318&action=getcompany"
"NISSAN AUTO LEASING LLC II","0001244832","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001244832&action=getcompany"
"Nissan Auto Receivables 2017-A Owner Trust","0001694423","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001694423&action=getcompany"
